"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"mess:MDIS:1                          ","Class","MDIS","1.0.0.0","mess","The MESSENGER MDIS class is the container for MESSENGER MDIS specific metadata elements. ","ppi","","","","","","","","","","",""
"mess:MDIS:2                           mess:att_q3:1                        ","Attribute","att_q3","n/a","mess","The yaw value of the vector component of the attitude quaternion representing spacecraft attitude, in the header of an MDIS image.","ppi","ASCII_Real","0","1","-1.0","1.0","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"mess:MDIS:2                           mess:att_q4:1                        ","Attribute","att_q4","n/a","mess","The scalar component of the attitude quaternion representing spacecraft attitude, in the header of an MDIS image.","ppi","ASCII_Real","0","1","-1.0","1.0","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"mess:MDIS:2                           mess:cam_t1:1                        ","Attribute","cam_t1","n/a","mess","The temperature of the focal plane array in raw counts at observation time. The conversion formula to degrees Celsius depends on the camera performing the observation: For WAC: Temperature = -263.2584 + Raw * 0.5022 For NAC: Temperature = -268.8441 + Raw * 0.5130 Where Raw is the raw counts in telemetry (mess.mdis.cam_t1).","ppi","ASCII_Integer","0","1","0","1023","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mess:MDIS:2                           mess:cam_t2:1                        ","Attribute","cam_t2","n/a","mess","Camera temperature 2 in raw counts. The meaning depends on whether it is being reported by the WAC or NAC. A single telemetry point is used to return the raw value of filter wheel temperature (WAC), FILTER_TEMPERATURE once converted to units of degrees Celsius, or the raw value of telescope temperature (NAC), OPTICS_TEMPERATURE once converted to units of degrees Celsius, depending on which camera is in use. For the WAC, this is temperature of the filter wheel. Thus, FILTER_TEMPERATURE is 'N/A' if the NAC was used for the observation because the telemetry point will be a measurement of the NAC telescope temperature. For the WAC the conversion from raw counts to degrees Celsius is: T = -292.7603 + Raw * 0.5553 where Raw is the raw counts in MESS:CAM_T2. For the NAC, this is temperature of the NAC telescope. Thus OPTICS_TEMPERATURE is 'N/A' if the WAC was used for observation because the telemetry point will be a measurement of the WAC filter wheel temperature. For the NAC the conversion from raw counts to degrees Celsius is: T = -269.7180 + Raw * 0.4861 where Raw is the raw counts in telemetry (mess.mdis.cam_t2).","ppi","ASCII_Integer","0","1","0","1023","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mess:MDIS:2                           mess:ccd_temp:1                      ","Attribute","ccd_temp","n/a","mess","MDIS CCD temperature in raw counts. The conversion formula to degrees Celsius depends on the camera performing the observation: For WAC: Temperature = -318.4553 + Raw * 0.2718 For NAC: Temperature = -323.3669 + Raw * 0.2737 Where Raw is the raw counts in telemetry (mess.mdis.ccd_temp).","ppi","ASCII_Integer","0","1","0","4095","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mess:MDIS:2                           mess:comp12_8:1                      ","Attribute","comp12_8","n/a","mess","12 to 8 bit image compression enabled or disabled. Which algorithm is used is specified by MESS.","ppi","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mess:MDIS:2                           mess:comp12_8:2                       Value:0","Value","0","","","disabled: images are 12-bit"
"mess:MDIS:2                           mess:comp12_8:2                       Value:1","Value","1","","","enabled: images are 8-bit"
"mess:MDIS:2                           mess:comp_alg:1                      ","Attribute","comp_alg","n/a","mess","12 to 8 bit compression algorithm (0-7) used to compress images from 12 to 8 bits. Whether this option is enabled is indicated by mess.mdis.comp12_8. The compression is implemented using one of eight lookup tables, which are optimized to the lower WAC CCD read noise and higher NAC read noise, light levels, and bias level (nominal or after inflight drift). ","ppi","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mess:MDIS:2                           mess:comp_alg:2                       Value:0","Value","0","","","Low-noise hi-bias SNR proportional. Case: Either NAC or WAC, for nominal bias (all DNs greater than 12-bit 230). Formulation: Maps 12-bit DNs between bias and saturation into 8 bits, proportional to SNR. Information loss is spread evenly over dynamic range. Usage: Typical imaging with varied brightness."
"mess:MDIS:2                           mess:comp_alg:2                       Value:1","Value","1","","","Low-noise hi-bias DN-weighted SNR proportional. Case: Low-noise (WAC) CCD, bias nominal (all DNs greater than 12-bit 230). Formulation: Maps 12 bits between bias and saturation into 8 bits proportional to sliding scale. Information is preferentially retained at the low DN end. Usage: Faint objects. Saturates at a DN of 3000."
"mess:MDIS:2                           mess:comp_alg:2                       Value:2","Value","2","","","High-noise hi-bias DN-weighted SNR proportional. Case: High-noise (NAC) CCD, bias nominal (all DNs greater than 12-bit 230). Formulation: Maps 12 bits between bias and saturation into 8 bits proportional to sliding scale. Information is preferentially retained at the low DN end. Usage: B/W, mostly low brightness."
"mess:MDIS:2                           mess:comp_alg:2                       Value:3","Value","3","","","Low-noise med-bias SNR proportional. Case: Either CCD, assuming bias has dropped tens DN (all DNs greater than 12-bit 180). Formulation: Maps 12-bit DNs between bias and saturation into 8 bits, proportional to SNR. Information loss is spread over dynamic range. Usage: Typical imaging, varied brightness."
"mess:MDIS:2                           mess:comp_alg:2                       Value:4","Value","4","","","Low-noise med-bias DN-weighted SNR proportional. Case: Lo-noise (WAC) CCD, assuming bias has dropped tens DN (all DNs greater than 12-bit 180). Formulation: Maps 12 bits between bias and saturation into 8 bits proportional to sliding scale. Information retained at low DN end. Usage: Faint objects. Saturates at a DN of 3000."
"mess:MDIS:2                           mess:comp_alg:2                       Value:5","Value","5","","","High-noise med-bias DN-weighted SNR proportional. Case: High-noise (NAC) CCD, assuming bias has dropped tens DN (all DNs greater than 12-bit 180). Formulation: Maps 12 bits between bias and saturation into 8 bits proportional to sliding scale. Information is retained preferentially at the low end of the DN range. Usage: B/W, mostly low brightness."
"mess:MDIS:2                           mess:comp_alg:2                       Value:6","Value","6","","","Zero-bias SNR proportional. Case: Contingency; assuming bias decreased to near 0 from the nominal 230 12-bit DNs. Formulation: Maps 12-bit DNs between bias and saturation into 8 bits, proportional to SNR. Information loss is spread over the dynamic range. Usage: Typical imaging, varied brightness."
"mess:MDIS:2                           mess:comp_alg:2                       Value:7","Value","7","","","Linear. Case: either CCD, bias or read noise. Formulation: Maps 12-bit DNs between the bias level and saturation linearly into 8-bit space. Usage: High brightness mapping; information loss greatest at low DNs, preserves information at high DNs."
"mess:MDIS:2                           mess:comp_fst:1                      ","Attribute","comp_fst","n/a","mess","Status of lossless Fast compression of MDIS images. This is applied to images by the instrument itself. The images are first uncompressed on the solid-state recorder if lossy wavelet compression is applied.","ppi","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mess:MDIS:2                           mess:comp_fst:2                       Value:0","Value","0","","","TBD"
"mess:MDIS:2                           mess:comp_fst:2                       Value:1","Value","1","","","TBD"
"mess:MDIS:2                           mess:critopnv:1                      ","Attribute","critopnv","n/a","mess","When true, this indicates that the MDIS image is a critical optical navigation image and will be compressed by the MESSENGER Main Processor (MP) before other images. Normally, the MP compresses images in the order that they are received.","ppi","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mess:MDIS:2                           mess:critopnv:2                       Value:0","Value","0","","","TBD"
"mess:MDIS:2                           mess:critopnv:2                       Value:1","Value","1","","","TBD"
"mess:MDIS:2                           mess:dlnkprio:1                      ","Attribute","dlnkprio","n/a","mess","Priority for downlink of an MDIS image file from the MESSENGER spacecraft.","ppi","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mess:MDIS:2                           mess:dlnkprio:2                       Value:0","Value","0","","","Priority #0 where zero is highest and 9 is lowest"
"mess:MDIS:2                           mess:dlnkprio:2                       Value:1","Value","1","","","Priority #1 where zero is highest and 9 is lowest"
"mess:MDIS:2                           mess:dlnkprio:2                       Value:2","Value","2","","","Priority #2 where zero is highest and 9 is lowest"
"mess:MDIS:2                           mess:dlnkprio:2                       Value:3","Value","3","","","Priority #3 where zero is highest and 9 is lowest"
"mess:MDIS:2                           mess:dlnkprio:2                       Value:4","Value","4","","","Priority #4 where zero is highest and 9 is lowest"
"mess:MDIS:2                           mess:dlnkprio:2                       Value:5","Value","5","","","Priority #5 where zero is highest and 9 is lowest"
"mess:MDIS:2                           mess:dlnkprio:2                       Value:6","Value","6","","","Priority #6 where zero is highest and 9 is lowest"
"mess:MDIS:2                           mess:dlnkprio:2                       Value:7","Value","7","","","Priority #7 where zero is highest and 9 is lowest"
"mess:MDIS:2                           mess:dlnkprio:2                       Value:8","Value","8","","","Priority #8 where zero is highest and 9 is lowest"
"mess:MDIS:2                           mess:dlnkprio:2                       Value:9","Value","9","","","Priority #9 where zero is highest and 9 is lowest"
"mess:MDIS:2                           mess:dpu_id:1                        ","Attribute","dpu_id","n/a","mess","The identified of the DPU used during acquisition of an MDIS image.","ppi","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mess:MDIS:2                           mess:dpu_id:2                         Value:0","Value","0","","","DPU-A"
"mess:MDIS:2                           mess:dpu_id:2                         Value:1","Value","1","","","DPU-B"
"mess:MDIS:2                           mess:exp_mode:1                      ","Attribute","exp_mode","n/a","mess","Exposure time mode used for acquisition of an MDIS image. Manual exposure uses a pre-commanded exposure time. Autoexposure determines the exposure time from test images taken before the exposure, targeting a specific brightness value.","ppi","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mess:MDIS:2                           mess:exp_mode:2                       Value:0","Value","0","","","Manual"
"mess:MDIS:2                           mess:exp_mode:2                       Value:1","Value","1","","","Automatic"
"mess:MDIS:2                           mess:exposure:1                      ","Attribute","exposure","n/a","mess","MDIS exposure time in milliseconds.","ppi","ASCII_Integer","0","1","0","9990","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mess:MDIS:2                           mess:fpu_bin:1                       ","Attribute","fpu_bin","n/a","mess","On-chip image binning option for MDIS. Images may be taken either without on-chip binning or with 2x2 binning, which decreases the size of a full image from 1024x1024 pixels to 512x512 pixels. On-chip binning can be used to manage the size of raw images being stored on the spacecraft solid-state recorder, or to increase CCD sensitivity. If this option is used, sensitivity increases by about a factor of four but read noise is similar.","ppi","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mess:MDIS:2                           mess:fpu_bin:2                        Value:0","Value","0","","","1x1 binning (none)"
"mess:MDIS:2                           mess:fpu_bin:2                        Value:1","Value","1","","","2x2 binning"
"mess:MDIS:2                           mess:fw_goal:1                       ","Attribute","fw_goal","n/a","mess","The goal position, in raw counts of the position resolver on the MDIS filter wheel. For each commanded filter number, the instrument software will try to place the filter wheel at the following positions: FILTER_NUMBER mess.mdis.fw_goal 1 17376 2 11976 3 6492 4 1108 5 61104 6 55684 7 50148 8 44760 9 39256 10 33796 11 28252 12 22852 Actual position attained is reported in mess.mdis.fw_pos.","ppi","ASCII_Integer","0","1","0","65535","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mess:MDIS:2                           mess:fw_pos:1                        ","Attribute","fw_pos","n/a","mess","The actual position, in raw counts of the position resolver on the MDIS filter wheel. For each commanded filter number, the instrument software will try to place the filter wheel at the following positions: FILTER_NUMBER mess.mdis.fw_goal 1 17376 2 11976 3 6492 4 1108 5 61104 6 55684 7 50148 8 44760 9 39256 10 33796 11 28252 12 22852 Commanded position is reported in mess.mdis.fw_goal. There is a tolerance of 240 resolver counts around mess.mdis.fw_goal for mess.mdis.fw_pos to indicate that the filter wheel is correctly positioned.","ppi","ASCII_Integer","0","1","0","65535","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mess:MDIS:2                           mess:fw_pv:1                         ","Attribute","fw_pv","n/a","mess","Validity flag for position of the MDIS filter wheel given in mess.mdis.fw_pos.","ppi","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mess:MDIS:2                           mess:fw_pv:2                          Value:0","Value","0","","","invalid"
"mess:MDIS:2                           mess:fw_pv:2                          Value:1","Value","1","","","valid"
"mess:MDIS:2                           mess:fw_read:1                       ","Attribute","fw_read","n/a","mess","The raw value from the MDIS filter wheel resolver in resolver counts. It is used by the flight software to compute mess.mdis.fw_pos. For each commanded filter number, the instrument software will try to place the filter wheel at the following positions: FILTER_NUMBER mess.mdis.fw_goal 1 17376 2 11976 3 6492 4 1108 5 61104 6 55684 7 50148 8 44760 9 39256 10 33796 11 28252 12 22852 Commanded position is reported in mess.mdis.fw_goal. There is a tolerance of 240 resolver counts around mess.mdis.fw_goal for mess.mdis.fw_pos to indicate that the filter wheel is correctly positioned.","ppi","ASCII_Integer","0","1","0","65535","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mess:MDIS:2                           mess:fw_rv:1                         ","Attribute","fw_rv","n/a","mess","Validity flag for reading of the MDIS filter wheel given in mess.mdis.fw_read.","ppi","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mess:MDIS:2                           mess:fw_rv:2                          Value:0","Value","0","","","invalid"
"mess:MDIS:2                           mess:fw_rv:2                          Value:1","Value","1","","","valid"
"mess:MDIS:2                           mess:imager:1                        ","Attribute","imager","n/a","mess","Which of the two cameras was used during acquisition of an MDIS image.","ppi","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mess:MDIS:2                           mess:imager:2                         Value:0","Value","0","","","WAC"
"mess:MDIS:2                           mess:imager:2                         Value:1","Value","1","","","NAC"
"mess:MDIS:2                           mess:img_id_lsb:1                    ","Attribute","img_id_lsb","n/a","mess","The 16 least-significant-bits of the 24-bit unique image identifier from the raw image header. This item was added to images effective with an instrument software update 2009-08-18 and will be set to N/A in images aquired earlier.","ppi","ASCII_Integer","0","1","0","65535","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mess:MDIS:2                           mess:img_id_msb:1                    ","Attribute","img_id_msb","n/a","mess","The 8 most-significant-bits of the 24-bit unique image identifier from the raw image header. This item was added to images effective with an instrument software update 2009-08-18 and will be set to N/A in images aquired earlier.","ppi","ASCII_Integer","0","1","0","255","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mess:MDIS:2                           mess:jailbars:1                      ","Attribute","jailbars","n/a","mess","When true, this indicates that an MDIS image is subsampled by jailbars, a subset of all the image columns that are downlinked to save data volume in optical navigation images. The start column, stop column, and column spacing are indicated by mess:jb_x0, mess:jb_x1, and mess:jb_space respectively. Jailbars are defined in the original 1024x1024 pixel MDIS coordinate system before pixel binning as described by mess_fpu_bin and mess:pixelbin.","ppi","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mess:MDIS:2                           mess:jailbars:2                       Value:0","Value","0","","","False"
"mess:MDIS:2                           mess:jailbars:2                       Value:1","Value","1","","","True"
"mess:MDIS:2                           mess:jb_space:1                      ","Attribute","jb_space","n/a","mess","The column spacing for jailbars in an MDIS image, a subset of all the image columns that are downlinked to save data volume in optical navigation images. Jailbars are defined in the original 1024x1024 pixel MDIS coordinate system before pixel binning as described by mess_fpu_bin and mess:pixelbin.","ppi","ASCII_Integer","0","1","0","1023","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mess:MDIS:2                           mess:jb_x0:1                         ","Attribute","jb_x0","n/a","mess","The start column for jailbars in an MDIS image, a subset of all the image columns that are downlinked to save data volume in optical navigation images. Jailbars are defined in the original 1024x1024 pixel MDIS coordinate system before pixel binning as described by mess_fpu_bin and mess:pixelbin.","ppi","ASCII_Integer","0","1","0","1023","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mess:MDIS:2                           mess:jb_x1:1                         ","Attribute","jb_x1","n/a","mess","The stop column for jailbars in an MDIS image, a subset of all the image columns that are downlinked to save data volume in optical navigation images. Jailbars are defined in the original 1024x1024 pixel MDIS coordinate system before pixel binning as described by mess_fpu_bin and mess:pixelbin.","ppi","ASCII_Integer","0","1","0","1023","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mess:MDIS:2                           mess:latch_up:1                      ","Attribute","latch_up","n/a","mess","Indicator if MDIS FPU is latched up. If the value is 1 then the image data are probably invalid.","ppi","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mess:MDIS:2                           mess:latch_up:2                       Value:0","Value","0","","","OK"
"mess:MDIS:2                           mess:latch_up:2                       Value:1","Value","1","","","Latched"
"mess:MDIS:2                           mess:met_exp:1                       ","Attribute","met_exp","n/a","mess","The mission-elapsed-time, or MET, in seconds since MESSENGER launch of the second during which an MDIS image completes its exposure.","ppi","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mess:MDIS:2                           mess:piv_cal:1                       ","Attribute","piv_cal","n/a","mess","The offset in measured pivot position applied to mess.mdis.piv_pos and mess.mdis.piv_goal so that zero is as close as possible to true spacecraft nadir (+z axis). The correction is in increments of (180 DEGREES / (2**15)).","ppi","ASCII_Integer","0","1","-32768","32768","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mess:MDIS:2                           mess:piv_goal:1                      ","Attribute","piv_goal","n/a","mess","The commanded position of the MDIS pivot during exposure of an MDIS image, in increments of (180 DEGREES / (2**15)) with zero at nadir. -180 degrees is stowed. This item is not available after an instrument sofware upload 2009-08-18 and will be set to N/A in images acquired later.","ppi","ASCII_Integer","0","1","-32768","32768","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mess:MDIS:2                           mess:piv_mpen:1                      ","Attribute","piv_mpen","n/a","mess","Status of main processor (MP) control of the MDIS pivot. If this is enabled, then the pivot goes to a position broadcast by the MP that points MDIS to nadir or some other aimpoint. If not enabled then a discrete pivot position is commanded.","ppi","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mess:MDIS:2                           mess:piv_mpen:2                       Value:0","Value","0","","","Disabled"
"mess:MDIS:2                           mess:piv_mpen:2                       Value:1","Value","1","","","Enabled"
"mess:MDIS:2                           mess:piv_pos:1                       ","Attribute","piv_pos","n/a","mess","The actual position of the MDIS pivot during exposure of an MDIS image, in increments of (180 DEGREES / (2**15)) with zero at nadir. -180 degrees is stowed.","ppi","ASCII_Integer","0","1","-32768","32768","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mess:MDIS:2                           mess:piv_pos_motor:1                 ","Attribute","piv_pos_motor","n/a","mess","The actual position of the MDIS pivot during exposure of an MDIS image, in motor step units. This item is not available prior to an instrument software upload 2009-08-18 and will be set to N/A in images taken earlier.","ppi","ASCII_Integer","0","1","0","65535","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mess:MDIS:2                           mess:piv_pv:1                        ","Attribute","piv_pv","n/a","mess","Validity flag for position of the MDIS pivot given in mess.mdis.piv_pos.","ppi","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mess:MDIS:2                           mess:piv_pv:2                         Value:0","Value","0","","","invalid"
"mess:MDIS:2                           mess:piv_pv:2                         Value:1","Value","1","","","valid"
