"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"vikinglander:Observation_Information:1       ","Class","Observation_Information","1.0.0.0","vikinglander","The Observation_Information class provides information about a Viking Lander science observation.","geo","","","","","","","","","","",""
"vikinglander:Observation_Information:2        vikinglander:mission_phase_name:1            ","Attribute","mission_phase_name","n/a","vikinglander","The mission_phase_name identifies a time period within the mission.","geo","ASCII_Short_String_Preserved","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"vikinglander:Observation_Information:2        vikinglander:mission_phase_name:2             Value:Completion_Mission","Value","Completion_Mission","",""," Viking Lander 1 continued to operated in its automatic mode during the Completion Mission. The observation sequences were cyclic. VL1 returned via direct downlink image and meteorology data about once a week with image sequences repeating every 37 sols. The VL1 high-gain antenna was programmed to track the Earth until December, 1994. However, communications were lost in November 1982 after a command sequence uplink. Dates: 1980-08-07 to 1982-11-19. "
"vikinglander:Observation_Information:2        vikinglander:mission_phase_name:2             Value:Continuation_Mission","Value","Continuation_Mission","","","Lander activities consisted of measurements by the imaging, meteorology, and XRFS instruments operating in a fully automated manner. Dates: 1978-05-31 to 1979-02-26. "
"vikinglander:Observation_Information:2        vikinglander:mission_phase_name:2             Value:Extended_Mission","Value","Extended_Mission","","","The Viking Extended Mission began after solar conjunction. The two lander spacecraft analyzed additional soil samples and dug three deep holes in the surface. All four spacecraft monitored the planet through the cycle of seasons. During the winter season, the landers operated in an automatic manner designed to allow the spacecraft to survive the cold temperatures and still return some data. Dates: 1976-11-15 to 1978-05-31. "
"vikinglander:Observation_Information:2        vikinglander:mission_phase_name:2             Value:Interim_Period","Value","Interim_Period","",""," The Interim Period mission phase occurred during the time of the Voyager 2 encounter with Jupiter. Thus, communications to and from the Viking spacecraft were limited. The landers continued to operate in an automated manner making imaging and meteorology observations. A final VL2 surface sampler sequence was conducted during this mission phase as an engineering test in the cold temperatures of mid winter. Dates: 1979-02-26 to 1979-07-19. "
"vikinglander:Observation_Information:2        vikinglander:mission_phase_name:2             Value:Primary_Mission","Value","Primary_Mission","","","The Viking Lander 1 spacecraft separated from the VO1 orbiter and descended to the Martian surface on July 20, 1976. The Viking Lander 2 spacecraft separated from the VO2 orbiter and descended to the Martian surface on September 3, 1976. The Primary Mission ended at the start of the solar conjunction in November 15, 1976. "
"vikinglander:Observation_Information:2        vikinglander:mission_phase_name:2             Value:Survey_Mission","Value","Survey_Mission","","","The plan for the landers was to collect image and meteorology data for as long as possible. Because VL2 no longer had a direct downlink capability, it meant that VL2 could return data only as long as VO1 provided a relay link, once every seven weeks. Communications with VL2 ended on April 11, 1980 after its batteries could no longer hold a charge. VL2 operated on the surface of Mars for 1281 sols. Dates: 1979-07-19 to 1980-08-07. "
"vikinglander:Observation_Information:2        vikinglander:native_time:1                   ","Attribute","native_time","n/a","vikinglander","Native time is the local lander time given as a sol number followed by hours, minutes, and seconds past local midnight on that sol. Sol 0 is day of landing. The Viking project used the format of sol number, hour, minute, and second for local lander time with times in a sol extending beyond 24 hours. This usage is different from the usage by recent Mars rover missions and PDS standard for local time. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"vikinglander:Observation_Information:2        vikinglander:sol_number:1                    ","Attribute","sol_number","n/a","vikinglander","Sol_number is the number of the Mars day on which an observation was acquired. Landing day is Sol 0. ","geo","ASCII_Integer","0","1","0","2238","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"vikinglander:Observation_Information:2        vikinglander:start_sol_number:1              ","Attribute","start_sol_number","n/a","vikinglander","Start_sol_number is the number of the Mars day on which a multiple-day observation was begun. Landing day is Sol 0.","geo","ASCII_Integer","0","1","0","2238","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"vikinglander:Observation_Information:2        vikinglander:stop_sol_number:1               ","Attribute","stop_sol_number","n/a","vikinglander","Stop_sol_number is the number of the Mars day on which a multiple-day observation was ended. Landing day is Sol 0.","geo","ASCII_Integer","0","1","0","2238","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"vikinglander:Observation_Information:2        vikinglander:local_hour:1                    ","Attribute","local_hour","n/a","vikinglander","The hour and fraction hour within a sol that an observation began assuming a sol has 24 hours.","geo","ASCII_Real","0","1","0.0","24.0","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"vikinglander:Observation_Information:2        vikinglander:observation_name:1              ","Attribute","observation_name","n/a","vikinglander","A short note that describes the observation.","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"vikinglander:Image_Parameters:1              ","Class","Image_Parameters","1.0.0.0","vikinglander","This class provides a set of parameters that describe a Viking Lander image.","geo","","","","","","","","","","",""
"vikinglander:Image_Parameters:2               vikinglander:diode_name:1                    ","Attribute","diode_name","n/a","vikinglander","Name for one of the twelve photodiode in a VL camera. ","geo","ASCII_Short_String_Preserved","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"vikinglander:Image_Parameters:2               vikinglander:diode_name:2                     Value:bb1","Value","bb1","","","One of four broadband high-resolution diodes. BB1 had the shortest in focus distance. It was used for imaging close to the lander. "
"vikinglander:Image_Parameters:2               vikinglander:diode_name:2                     Value:bb2","Value","bb2","","","One of four broadband high-resolution diodes. BB2 had an intermediate in focus distance. "
"vikinglander:Image_Parameters:2               vikinglander:diode_name:2                     Value:bb3","Value","bb3","","","One of four broadband high-resolution diodes. BB3 had an intermediate in focus distance. "
"vikinglander:Image_Parameters:2               vikinglander:diode_name:2                     Value:bb4","Value","bb4","","","One of four broadband high-resolution diodes. BB4 had the longest in focus distance. It was used for imaging objects further from the lander. "
"vikinglander:Image_Parameters:2               vikinglander:diode_name:2                     Value:blue","Value","blue","","","A low-resolution diode with a passband centered at blue wavelengths. "
"vikinglander:Image_Parameters:2               vikinglander:diode_name:2                     Value:green","Value","green","","","A low-resolution diode with a passband centered at green wavelengths. "
"vikinglander:Image_Parameters:2               vikinglander:diode_name:2                     Value:ir1","Value","ir1","","","One of three low-resolution diodes with a passband centered at Infrared wavelengths. "
"vikinglander:Image_Parameters:2               vikinglander:diode_name:2                     Value:ir2","Value","ir2","","","One of three low-resolution diodes with a passband centered at Infrared wavelengths. "
"vikinglander:Image_Parameters:2               vikinglander:diode_name:2                     Value:ir3","Value","ir3","","","One of three low-resolution diodes with a passband centered at Infrared wavelengths. "
"vikinglander:Image_Parameters:2               vikinglander:diode_name:2                     Value:red","Value","red","","","A low-resolution diode with a passband centered at red wavelengths. "
"vikinglander:Image_Parameters:2               vikinglander:diode_name:2                     Value:sun","Value","sun","","","A broadband high-resolution diode with a filter designed for imaging the Sun without saturating the DN range. "
"vikinglander:Image_Parameters:2               vikinglander:diode_name:2                     Value:survey","Value","survey","","","A broadband low-resolution diode. The Survey diode was used to take images that covered a large area at low resolution. "
"vikinglander:Image_Parameters:2               vikinglander:diode_name:2                     Value:undefined","Value","undefined","","","This value indicates a calibration sequence was collected using all the diodes. "
"vikinglander:Image_Parameters:2               vikinglander:scan_start_azimuth:1            ","Attribute","scan_start_azimuth","n/a","vikinglander","Beginning azimuth of an image scan. Values are in the camera-aligned camera coordinate system (CACCS). This zero azimuth for each camera generally points towards the other camera.","geo","ASCII_Real","0","1","0.0","360.0","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"vikinglander:Image_Parameters:2               vikinglander:scan_stop_azimuth:1             ","Attribute","scan_stop_azimuth","n/a","vikinglander","Ending azimuth of an image scan. Values are in the camera-aligned camera coordinate system (CACCS). This zero azimuth for each camera generally points towards the other camera.","geo","ASCII_Real","0","1","0.0","360.0","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"vikinglander:Image_Parameters:2               vikinglander:mirror_center_elevation:1       ","Attribute","mirror_center_elevation","n/a","vikinglander","The commanded center elevation of the scanning mirror used for an image. Zero elevation is generally pointed toward the horizon with negative values below and positive values above. Note that actual center elevation may be different for some non-nominal imaging modes.","geo","ASCII_Real","0","1","-60.0","40.0","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"vikinglander:Image_Parameters:2               vikinglander:sampling_interval:1             ","Attribute","sampling_interval","n/a","vikinglander","The spacing in degrees between pixels within a scan line and between scan lines.","geo","ASCII_Real","0","1","0.00","0.12","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"vikinglander:Image_Parameters:2               vikinglander:offset_number:1                 ","Attribute","offset_number","n/a","vikinglander","One of 32 offset settings used in the conversion of photodiode voltage to DN.","geo","ASCII_Integer","0","1","0","31","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"vikinglander:Image_Parameters:2               vikinglander:gain_number:1                   ","Attribute","gain_number","n/a","vikinglander","One of six gain settings used in the conversion of photodiode voltage to DN.","geo","ASCII_Integer","0","1","0","5","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"vikinglander:Image_Parameters:2               vikinglander:psa_temperature:1               ","Attribute","psa_temperature","n/a","vikinglander","The temperature of the photosensor array (PSA) measured during the acquisition of an VL image.","geo","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Temperature","none","TBD_classConcept","REAL"
"vikinglander:Image_Parameters:2               vikinglander:scan_rate:1                     ","Attribute","scan_rate","n/a","vikinglander","The VL camera system has two rates of data collection - 16,000 or 250 bps.","geo","ASCII_Integer","0","1","250","16000","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"vikinglander:Image_Parameters:2               vikinglander:rescan_start_sample:1           ","Attribute","rescan_start_sample","n/a","vikinglander","The VL camera could collect data without advancing the azimuth. This was called rescan, i.e., repeating the same vertical scan of data. This sometimes happened at the end of image and sometimes was commanded to repeat vertical scans. Start_rescan_sample is the sample value where rescan starts in an image. This value is zero if there was no rescan.","geo","ASCII_Integer","0","1","0","10000","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"vikinglander:Image_Parameters:2               vikinglander:rescan_total_samples:1          ","Attribute","rescan_total_samples","n/a","vikinglander","The VL camera could collect data without advancing the azimuth. This was called rescan, i.e., repeating the same vertical scan of data. This sometimes happened at the end of image and sometimes was commanded to repeat vertical scans. Total_rescan_samples is the total number of rescan scans in an image. This value is zero if there was no rescan.","geo","ASCII_Integer","0","1","0","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"vikinglander:Image_Parameters:2               vikinglander:missing_scans:1                 ","Attribute","missing_scans","n/a","vikinglander","Sometimes vertical scans of data were lost in transmission to Earth or there were errors in the telemetry such that scans could not be extracted from the downlink. Missing_scans is the number of vertical lines that are missing from an image. A value of zero means no scans were lost.","geo","ASCII_Integer","0","1","0","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"vikinglander:Image_Parameters:2               vikinglander:downlink_path:1                 ","Attribute","downlink_path","n/a","vikinglander","The data transmission path from the cameras to Earth. The path could be recorded for later transmission or transmitted in realtime as the camera scanned. The data could be sent either by a UHF link to an orbiter or S-band link directly to Earth.","geo","ASCII_Short_String_Preserved","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"vikinglander:Image_Parameters:2               vikinglander:downlink_path:2                  Value:realtime_s-band_link","Value","realtime_s-band_link","","","Image transmitted direcly to Earth on S-Band link while being acquired. "
"vikinglander:Image_Parameters:2               vikinglander:downlink_path:2                  Value:realtime_uhf_link","Value","realtime_uhf_link","","","Image transmitted by UHF relay to Earth while being acquired. "
"vikinglander:Image_Parameters:2               vikinglander:downlink_path:2                  Value:recorded_s-band_link","Value","recorded_s-band_link","","","Image recorded to Lander tape and transmitted directly to Earth on S-Band link. "
"vikinglander:Image_Parameters:2               vikinglander:downlink_path:2                  Value:recorded_uhf_link","Value","recorded_uhf_link","","","Image recorded to Lander tape and transmitted by UHF relay to Earth. "
"vikinglander:Image_Parameters:2               vikinglander:dust_flag:1                     ","Attribute","dust_flag","n/a","vikinglander","A flag indicating whether a dust sequence was done with an image.","geo","ASCII_Short_String_Preserved","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"vikinglander:Image_Parameters:2               vikinglander:dust_flag:2                      Value:false","Value","false","","","No dust sequence was done. "
"vikinglander:Image_Parameters:2               vikinglander:dust_flag:2                      Value:true","Value","true","","","A dust sequence was done. "
"vikinglander:Viking_Lander_Parameters:1      ","Class","Viking_Lander_Parameters","1.0.0.0","vikinglander","The Viking_Lander_Parameters class is a superclass containing all Viking Lander mission classes.","geo","","","","","","","","","","",""
