"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"speclib:Measurement_Instrument:1        ","Class","Measurement_Instrument","1.0.0.0","speclib","The Measurement_Instrument class contains attributes that identify the instrument that made the measurement. ","geo","","","","","","","","","","",""
"speclib:Measurement_Parameters:2         speclib:spectral_sampling_interval_max:1","Attribute","spectral_sampling_interval_max","n/a","speclib","The spectral_sampling_interval_max element identifies the maximum distance between band centers in a given spectrum. If all band centers are equally spaced, spectral_sampling_interval_min and spectral_sampling_interval_max will have the same value.","geo","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"speclib:Measurement_Parameters:2         speclib:spectral_sampling_interval_unit_name:1","Attribute","spectral_sampling_interval_unit_name","n/a","speclib","The spectral_sampling_interval_unit_name element identifies the unit of measure for the values specified by spectral_sampling_interval_min and spectral_sampling_interval_max.","geo","UTF8_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"speclib:Measurement_Parameters:2         speclib:spectral_resolution_width_min:1 ","Attribute","spectral_resolution_width_min","n/a","speclib","The spectral_resolution_width_min element identifies the full width at half minimum (FWHM) of a spectral band in a given spectrum. If all bands are the same width, spectral_resolution_width_min and spectral_resolution_width_max will have the same value.","geo","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"speclib:Measurement_Parameters:2         speclib:spectral_resolution_width_max:1 ","Attribute","spectral_resolution_width_max","n/a","speclib","The spectral_resolution_width_max element identifies the full width at half maximum (FWHM) of a spectral band in a given spectrum. If all bands are the same width, spectral_resolution_width_min and spectral_resolution_width_max will have the same value.","geo","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"speclib:Measurement_Parameters:2         speclib:spectral_resolution_width_unit_name:1","Attribute","spectral_resolution_width_unit_name","n/a","speclib","The spectral_resolution_width_unit_name element identifies the unit of measure for the values specified by spectral_resolution_width_min and spectral_resolution_width_max.","geo","UTF8_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"speclib:Measurement_Parameters:2         speclib:measurement_run:1               ","Attribute","measurement_run","n/a","speclib","The measurement_run element identifies the run number of the measurement in a particular day.","geo","ASCII_NonNegative_Integer","0","1","0","18446744073709551615","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"speclib:Measurement_Parameters:2         speclib:measurement_location_number:1   ","Attribute","measurement_location_number","n/a","speclib","The measurement_location_number element indicates the location number of spectra collection on the target surface.","geo","ASCII_NonNegative_Integer","0","1","0","18446744073709551615","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"speclib:Measurement_Parameters:2         speclib:measurement_locations_per_sample:1","Attribute","measurement_locations_per_sample","n/a","speclib","The measurement_locations_per_sample element indicates the number of measurement locations per sample.","geo","ASCII_NonNegative_Integer","0","1","0","18446744073709551615","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"speclib:Measurement_Parameters:2         speclib:measurement_reference_standard:1","Attribute","measurement_reference_standard","n/a","speclib","The measurement_reference_standard element identifies the standard object on which observations are performed in order to calibrate a measurement.","geo","UTF8_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"speclib:Measurement_Parameters:2         speclib:measurement_geometry_type:1     ","Attribute","measurement_geometry_type","n/a","speclib","The measurement_geometry_type element identifies the type of geometry at which a measurement is taken.","geo","UTF8_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"speclib:Measurement_Parameters:2         speclib:measurement_geometry_type:2      Value:Biconical","Value","Biconical","",""," Measurement taken when light is sent in to the specimen at a certain direction and in a cone-like shape and received at a certain direction and in a cone-like shape. "
"speclib:Measurement_Parameters:2         speclib:measurement_geometry_type:2      Value:Bidirectional","Value","Bidirectional","",""," Measurement taken when light is sent in to the specimen at a narrow angular range and received over a narrow angular range "
"speclib:Measurement_Parameters:2         speclib:measurement_geometry_type:2      Value:Directional Hemisphe","Value","Directional Hemispherical","",""," Measurement taken when light is sent in to the specimen at a certain direction and received in all directions (perhaps in an integrating sphere). "
"speclib:Measurement_Parameters:2         speclib:measurement_geometry_type:2      Value:Hemispherical Hemisp","Value","Hemispherical Hemispherical","",""," Measurement taken when light is sent in to the specimen at all directions and received in all directions (perhaps in an integrating sphere) "
"speclib:Measurement_Parameters:2         speclib:measurement_geometry_type:2      Value:Unknown","Value","Unknown","","","The measurement geometry is unknown."
"speclib:Measurement_Parameters:2         speclib:incidence_angle:1               ","Attribute","incidence_angle","n/a","speclib","The incidence_angle element provides the angle between the local vertical at the intercept point and a vector from the intercept point to the source.","geo","ASCII_Real","0","1","-90","90","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"speclib:Measurement_Parameters:2         speclib:emission_angle:1                ","Attribute","emission_angle","n/a","speclib","The emission_angle element provides the angle between the local vertical at the intercept point and a vector from the intercept point to the sensor.","geo","ASCII_Real","0","1","-90","90","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"speclib:Measurement_Parameters:2         speclib:phase_angle:1                   ","Attribute","phase_angle","n/a","speclib","The phase_angle element provides the angle between incidence and emission vectors.","geo","ASCII_Real","0","1","-180","180","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"speclib:Measurement_Parameters:2         speclib:measurement_source_description:1","Attribute","measurement_source_description","n/a","speclib","The measurement_source_description element identifies the source used for the measurement such as the type of lamp, heating element, laser, or radioactive source.","geo","UTF8_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"speclib:Measurement_Parameters:2         speclib:measurement_atmosphere_pressure:1","Attribute","measurement_atmosphere_pressure","n/a","speclib","The measurement_atmosphere_pressure element provides the atmospheric pressure of the measurement environment.","geo","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Pressure","none","TBD_classConcept","REAL"
"speclib:Measurement_Parameters:2         speclib:measurement_atmosphere_temperature:1","Attribute","measurement_atmosphere_temperature","n/a","speclib","The measurement_atmosphere_temperature element provides the temperature of the measurement environment.","geo","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Temperature","none","TBD_classConcept","REAL"
"speclib:Measurement_Parameters:2         speclib:measurement_atmosphere_relative_humidity:1","Attribute","measurement_atmosphere_relative_humidity","n/a","speclib","The measurement_atmosphere_relative_humidity element provides the relative humidity of the measurement environment.","geo","ASCII_Real","0","1","0","100","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"speclib:Measurement_Parameters:2         speclib:measurement_atmosphere_composition:1","Attribute","measurement_atmosphere_composition","n/a","speclib","The measurement_atmosphere_composition element identifies any gas(es) present in measurement environment.","geo","UTF8_Text_Preserved","0","1","Unbounded","Unbounded","1","1000","Units_of_None","none","TBD_classConcept","TEXT"
"speclib:Measurement_Parameters:2         speclib:measurement_atmosphere_description:1","Attribute","measurement_atmosphere_description","n/a","speclib","The measurement_atmosphere_description decribes the atmospheric conditions through which the data was taken.","geo","UTF8_Text_Preserved","0","1","Unbounded","Unbounded","1","1000","Units_of_None","none","TBD_classConcept","TEXT"
"speclib:Measurement_Parameters:2         speclib:measurement_date_time:1         ","Attribute","measurement_date_time","n/a","speclib","The measurement_date_time element identifies the date and time of the observation and measurement.","geo","ASCII_Date_Time_YMD","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","TIME"
"speclib:Measurement_Parameters:2         speclib:data_producer_name:1            ","Attribute","data_producer_name","n/a","speclib","The data_producer_name element provides the name of the creator of the product. For products in RELAB, the value of data_producer_name is always ""RELAB"".","geo","UTF8_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"speclib:Measurement_Parameters:2         speclib:data_provider_name:1            ","Attribute","data_provider_name","n/a","speclib","The data_provider_name element provides the full name of the person who submitted the product to the library.","geo","UTF8_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"speclib:Measurement_Parameters:2         speclib:measurement_requestor:1         ","Attribute","measurement_requestor","n/a","speclib","The measurement_requestor element identifies the individual or laboratory who requested the measurement. The attribute may be present with a null value. A maximum of two names are permitted.","geo","UTF8_Short_String_Collapsed","0","2","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"speclib:Measurement_Parameters:2         speclib:measurement_notes:1             ","Attribute","measurement_notes","n/a","speclib","The measurement_notes element contains relevant notes about how a measurement was made.","geo","UTF8_Text_Preserved","0","1","Unbounded","Unbounded","1","1000","Units_of_None","none","TBD_classConcept","TEXT"
"speclib:Measurement_Parameters:2         speclib:accumulation_time:1             ","Attribute","accumulation_time","n/a","speclib","The duration for which a measurement was acquired. If more than one measurement is reported, this value corresponds to the total measurement time across all measurements.","geo","ASCII_Real","0","1","0","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","REAL"
"speclib:Measurement_Parameters:2         speclib:microscope_objective:1          ","Attribute","microscope_objective","n/a","speclib","The microscope_objective is the magnification power of the objective lens by power (e.g. 4x, 10x).","geo","ASCII_NonNegative_Integer","0","1","0","18446744073709551615","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"speclib:Measurement_Parameters:2         speclib:laser_pulses_per_integration:1  ","Attribute","laser_pulses_per_integration","n/a","speclib","The laser_pulses_per_integration element identifies the number of laser pulses per integration. This value is 1 for single shot spectra.","geo","ASCII_NonNegative_Integer","0","1","0","18446744073709551615","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"speclib:Measurement_Parameters:2         speclib:laser_attenuation:1             ","Attribute","laser_attenuation","n/a","speclib","The laser_attenuation element is the energy of the laser pulse used for sample ablation.","geo","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Energy","none","TBD_classConcept","REAL"
"speclib:Measurement_Parameters:2         speclib:laser_power_sample:1            ","Attribute","laser_power_sample","n/a","speclib","Laser power, in percent, utilized during sample analysis.","geo","ASCII_Real","0","1","0","100","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"speclib:Measurement_Parameters:2         speclib:laser_power_for_calibration_min:1","Attribute","laser_power_for_calibration_min","n/a","speclib","Minimum laser power, in percent, used during calibration.","geo","ASCII_Real","0","1","0","100","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"speclib:Measurement_Parameters:2         speclib:laser_power_for_calibration_max:1","Attribute","laser_power_for_calibration_max","n/a","speclib","Maximum laser power, in percent, used during calibration.","geo","ASCII_Real","0","1","0","100","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"speclib:Measurement_Parameters:2         speclib:laser_wavelength:1              ","Attribute","laser_wavelength","n/a","speclib","Laser wavelength utilized in sample analysis.","geo","ASCII_Real","0","1","0","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","REAL"
"speclib:Measurement_Parameters:2         speclib:laser_pulse_rate:1              ","Attribute","laser_pulse_rate","n/a","speclib","The laser_pulse_rate element indicates the frequency of laser pulses. A laser_pulse_rate of 10 Hz means that the laser fires ten times per second.","geo","ASCII_NonNegative_Integer","0","1","0","18446744073709551615","Unbounded","Unbounded","Units_of_Frequency","none","TBD_classConcept","INTEGER"
"speclib:Measurement_Parameters:2         speclib:laser_averaged_integrations:1   ","Attribute","laser_averaged_integrations","n/a","speclib","The laser_averaged_integrations element indicates the number of laser integrations that are averaged. A value of 1 means that the integrations are not averaged.","geo","ASCII_NonNegative_Integer","0","1","0","18446744073709551615","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"speclib:Measurement_Parameters:2         speclib:dark_subtraction_flag:1         ","Attribute","dark_subtraction_flag","n/a","speclib","The dark_subtraction_flag element indicates if a spectrum has been dark subtracted.","geo","UTF8_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"speclib:Measurement_Parameters:2         speclib:dark_subtraction_flag:2          Value:N","Value","N","","","No, the spectrum was not dark subtracted."
"speclib:Measurement_Parameters:2         speclib:dark_subtraction_flag:2          Value:Y","Value","Y","","","Yes, the spectrum was dark subtracted."
"speclib:Measurement_Parameters:2         speclib:laser_pulses_discarded:1        ","Attribute","laser_pulses_discarded","n/a","speclib","The laser_pulses_discarded element indicates the number of laser pulses discarded.","geo","ASCII_NonNegative_Integer","0","1","0","18446744073709551615","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"speclib:Measurement_Parameters:2         speclib:laser_integrations_saturated:1  ","Attribute","laser_integrations_saturated","n/a","speclib","The laser_integrations_saturated element lists the number of spectra with at least one peak that saturates the spectrometer.","geo","ASCII_NonNegative_Integer","0","1","0","18446744073709551615","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"speclib:Specimen_Classification:1       ","Class","Specimen_Classification","1.0.0.0","speclib","The Specimen_Classification class provides information about how a specimen has been classified.","geo","","","","","","","","","","",""
"speclib:Specimen_Classification:2        speclib:specimen_type:1                 ","Attribute","specimen_type","n/a","speclib","The specimen_type element gives one or two terms that classify the origin of the specimen. ","geo","UTF8_Short_String_Collapsed","1","2","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"speclib:Specimen_Classification:2        speclib:specimen_type:2                  Value:Lunar Meteorite","Value","Lunar Meteorite","","","The Lunar Meteorite value means the specimen is a sample from a lunar meteorite."
"speclib:Specimen_Classification:2        speclib:specimen_type:2                  Value:Mars Meteorite","Value","Mars Meteorite","","","The Mars Meteorite value means the specimen is a sample from a Mars meteorite."
"speclib:Specimen_Classification:2        speclib:specimen_type:2                  Value:Other Meteorite","Value","Other Meteorite","","","The Other Meteorite value means the specimen is a sample from a meteorite that is not a lunar or Mars meteorite."
"speclib:Specimen_Classification:2        speclib:specimen_type:2                  Value:Returned Asteroid Sa","Value","Returned Asteroid Sample","","","The Returned Asteroid Sample value means the specimen is an asteroid sample returned by a mission."
"speclib:Specimen_Classification:2        speclib:specimen_type:2                  Value:Returned Lunar Sampl","Value","Returned Lunar Sample","","","The Returned Lunar Sample value means the specimen is a lunar sample returned by a mission."
"speclib:Specimen_Classification:2        speclib:specimen_type:2                  Value:Synthetic Sample","Value","Synthetic Sample","","","The Synthetic Sample value means the specimen is manufactured, laboratory-generated, or a naturally occurring sample that has been significantly modified (e.g. heating, irradiation). Grinding and stirring alone do not count as significantly modified."
"speclib:Specimen_Classification:2        speclib:specimen_type:2                  Value:Terrestrial Sample","Value","Terrestrial Sample","","","The Terrestrial value means the specimen is a terrestrial sample."
"speclib:Specimen_Classification:2        speclib:material_common_name:1          ","Attribute","material_common_name","n/a","speclib","The material_common_name element gives the specific name of the specimen material, as specifically as it is known. For example, if a specimen is pure olivine, put ""Olivine"". If a specimen is a mixture of kaolinite and opal, put ""Kaolinite/Opal"". Indicate if ""Unidentified"".","geo","UTF8_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","100","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"speclib:Specimen_Classification:2        speclib:material_origin:1               ","Attribute","material_origin","n/a","speclib","The material_origin element identifies whether the specimen is natural, synthetic, or natural/doped.","geo","UTF8_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"speclib:Specimen_Classification:2        speclib:material_origin:2                Value:Natural","Value","Natural","","","The Natural value indicates that the specimen was not made in a laboratory."
"speclib:Specimen_Classification:2        speclib:material_origin:2                Value:Natural-Doped","Value","Natural-Doped","","","The Natural-Doped value indicates natural rock matrices that have been doped with metal oxides."
"speclib:Specimen_Classification:2        speclib:material_origin:2                Value:Synthetic","Value","Synthetic","","","The Synthetic value indicates that the specimen or some portion of a specimen was manufactured, laboratory-generated, or naturally occuring sample that has been significantly modified (e.g. heating irradiation). Grinding and stirring alone do not count as significantly modified."
"speclib:Specimen_Classification:2        speclib:synthetic_type:1                ","Attribute","synthetic_type","n/a","speclib","The synthetic_type element identifies the process by which the specimen was produced synthetically.","geo","UTF8_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"speclib:Specimen_Classification:2        speclib:synthetic_type:2                 Value:Entirely Synthetic","Value","Entirely Synthetic","","","Sample that is entirely human-made"
"speclib:Specimen_Classification:2        speclib:synthetic_type:2                 Value:From Natural","Value","From Natural","",""," A natural product chemically or mineralogically altered by a laboratory treatment (e.g., heating). Does not include size and magnetic separates of natural samples or washing by water. "
"speclib:Specimen_Classification:2        speclib:synthetic_type:2                 Value:Hardware","Value","Hardware","",""," Portions of an instrument, e.g., portions of a spectrometer that contribute to a spectroscopic signature and thus need to be characterized "
"speclib:Specimen_Classification:2        speclib:synthetic_type:2                 Value:Natural and Syntheti","Value","Natural and Synthetic","",""," Sample that is a mixture of human-made and naturally occurring components "
"speclib:Specimen_Classification:2        speclib:material_state:1                ","Attribute","material_state","n/a","speclib","The material_state element identifies the physical state of the specimen.","geo","UTF8_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"speclib:Specimen_Classification:2        speclib:material_state:2                 Value:Gas","Value","Gas","","","The Gas value indicates that the specimen is in the gas state."
"speclib:Specimen_Classification:2        speclib:material_state:2                 Value:Liquid","Value","Liquid","","","The Liquid value indicates that the specimen is in the liquid state."
"speclib:Specimen_Classification:2        speclib:material_state:2                 Value:Solid","Value","Solid","","","The Solid value indicates that the specimen is in the solid state."
"speclib:Specimen_Classification:2        speclib:organic_type:1                  ","Attribute","organic_type","n/a","speclib","The organic_type element identifies the organic type to which the specimen belongs.","geo","UTF8_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"speclib:Specimen_Classification:2        speclib:organic_type:2                   Value:Inorganic","Value","Inorganic","","","The Inorganic value indicates the specimen is not an organic material."
"speclib:Specimen_Classification:2        speclib:organic_type:2                   Value:Mixture","Value","Mixture","","","The Mixture value indicates the specimen is a mixture of organic and inorganic material."
"speclib:Specimen_Classification:2        speclib:organic_type:2                   Value:Organic","Value","Organic","","","The Organic value indicates the specimen is an organic material."
"speclib:Specimen_Classification:2        speclib:material_type:1                 ","Attribute","material_type","n/a","speclib","The material_type element indicates the general type of the specimen.","geo","UTF8_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","30","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"speclib:Specimen_Classification:2        speclib:material_type:2                  Value:Amorphous","Value","Amorphous","",""," Sample without crystalline structure or long range order, e.g., glass "
"speclib:Specimen_Classification:2        speclib:material_type:2                  Value:Brine","Value","Brine","",""," Sample that contains solute in a liquid solvent. "
"speclib:Specimen_Classification:2        speclib:material_type:2                  Value:Consolidated Mixture","Value","Consolidated Mixture","",""," Sample that is cemented or otherwise aggregated into a solid mass "
"speclib:Specimen_Classification:2        speclib:material_type:2                  Value:Element","Value","Element","",""," Sample composed of a single element such as metallic iron "
"speclib:Specimen_Classification:2        speclib:material_type:2                  Value:Ice","Value","Ice","",""," Solid sample composed of gas or liquid (e.g., water vapor or water) now in solid form "
"speclib:Specimen_Classification:2        speclib:material_type:2                  Value:Mineral","Value","Mineral","",""," Sample with a given composition within a defined range of compositions and that exhibits a defined crystalline structure "
"speclib:Specimen_Classification:2        speclib:material_type:2                  Value:Organic","Value","Organic","",""," Sample composed of organic materials "
"speclib:Specimen_Classification:2        speclib:material_type:2                  Value:Rock","Value","Rock","",""," Solid sample composed of one or more minerals "
"speclib:Specimen_Classification:2        speclib:material_type:2                  Value:Single Particle","Value","Single Particle","",""," Sample composed of a single particle "
"speclib:Specimen_Classification:2        speclib:material_type:2                  Value:Unconsolidated Mixtu","Value","Unconsolidated Mixture","",""," Sample of loose or disaggregated material that is a mixture of various minerals and/or other compounds "
"speclib:Specimen_Classification:2        speclib:material_subtype:1              ","Attribute","material_subtype","n/a","speclib","The material_subtype element provides an optional descriptor for additional information about the physical state of the specimen, e.g. particulate or nonparticulate.","geo","UTF8_Short_String_Collapsed","0","10","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"speclib:Specimen_Classification:2        speclib:mineral_type:1                  ","Attribute","mineral_type","n/a","speclib","The mineral_type element identifies the type of mineral to which the specimen belongs.","geo","UTF8_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"speclib:Specimen_Classification:2        speclib:mineral_type:2                   Value:Arsenate","Value","Arsenate","","","The Arsenate value indicates the specimen is an arsenate."
"speclib:Specimen_Classification:2        speclib:mineral_type:2                   Value:Borate","Value","Borate","","","The Borate valeu indicates the specimen is a borate."
